ram,battery_power,storage,rear_camera_mp,front_camera_mp,screen_size,processor_speed,refresh_rate,has_5g,brand_level,price_category
14,5471,512,149,35,6.8,3.5,120,1,2,Flagship Phone
12,5393,256,89,28,6.7,2.9,90,1,2,Premium Phone
4,3971,64,11,7,5.8,1.9,60,0,2,Budget Phone
8,4942,64,50,11,6.5,2.1,90,0,1,Mid-Range Phone
4,3992,32,8,7,5.7,1.5,60,0,1,Budget Phone
15,5263,512,123,41,6.7,3.4,144,1,3,Flagship Phone
6,5058,64,26,14,6.5,2.3,60,0,1,Mid-Range Phone
12,5533,512,140,43,6.9,3.2,120,1,2,Flagship Phone
8,4406,128,60,13,6.2,2.5,90,1,2,Mid-Range Phone
12,5119,256,91,31,6.6,3.2,90,0,2,Premium Phone
10,4765,256,103,22,6.5,2.8,90,1,3,Premium Phone
2,3476,64,8,8,6.1,1.4,60,0,1,Budget Phone
3,4060,32,16,7,6.2,1.5,60,1,1,Budget Phone
10,4567,256,99,25,6.6,3.1,120,1,2,Premium Phone
2,3089,32,11,7,6.0,1.5,60,0,1,Budget Phone
3,4470,32,14,6,5.7,1.9,60,0,2,Budget Phone
6,4320,128,63,13,6.6,2.5,90,1,1,Mid-Range Phone
10,4764,128,96,18,6.8,2.9,120,0,2,Premium Phone
9,4589,256,97,30,6.7,2.6,120,1,3,Premium Phone
6,4364,128,25,16,6.3,2.4,60,1,1,Mid-Range Phone
5,4516,128,52,13,6.5,2.2,90,0,1,Mid-Range Phone
9,5066,256,57,25,6.6,3.0,120,1,3,Premium Phone
10,5073,256,81,30,6.8,3.1,120,1,3,Premium Phone
7,5402,128,28,12,6.3,2.3,60,0,1,Mid-Range Phone
3,3050,64,13,5,6.1,1.6,60,0,1,Budget Phone
4,3061,32,14,5,5.8,1.8,60,0,1,Budget Phone
11,5166,128,93,18,6.7,3.1,90,1,3,Premium Phone
7,5177,64,32,14,6.4,2.5,90,0,2,Mid-Range Phone
4,4358,64,37,13,6.4,2.3,60,0,1,Mid-Range Phone
7,4400,128,58,13,6.1,2.5,90,0,1,Mid-Range Phone
8,4394,128,42,10,6.2,2.5,60,0,2,Mid-Range Phone
9,5307,128,78,18,6.5,2.9,120,0,2,Premium Phone
10,5100,128,54,23,6.8,2.8,120,1,3,Premium Phone
8,4772,256,100,27,6.8,2.8,90,1,2,Premium Phone
8,4482,64,24,11,6.3,2.6,90,1,1,Mid-Range Phone
7,4690,128,64,14,6.1,2.3,90,1,1,Mid-Range Phone
5,5352,128,20,12,6.3,2.4,90,1,1,Mid-Range Phone
4,3569,32,14,6,6.1,1.8,60,0,2,Budget Phone
4,4169,128,41,11,6.3,2.1,90,0,2,Mid-Range Phone
10,4602,128,51,22,6.5,2.8,120,1,3,Premium Phone
14,5029,256,138,44,6.7,3.6,120,1,2,Flagship Phone
4,3726,64,8,8,5.6,1.6,60,1,2,Budget Phone
15,5484,256,125,52,6.8,3.2,144,1,3,Flagship Phone
7,5003,64,32,9,6.0,2.5,60,1,2,Mid-Range Phone
15,5870,256,154,53,6.7,3.3,144,1,3,Flagship Phone
4,4364,64,49,8,6.1,2.3,90,1,2,Mid-Range Phone
8,4382,128,54,8,6.1,2.5,60,1,2,Mid-Range Phone
3,3562,32,16,5,5.6,1.5,60,0,1,Budget Phone
2,3157,64,13,6,5.9,1.8,60,0,1,Budget Phone
3,3969,64,15,6,6.0,1.9,60,0,1,Budget Phone
9,5413,256,76,17,6.5,2.7,90,1,2,Premium Phone
12,5365,512,133,60,6.7,3.2,120,1,3,Flagship Phone
7,4995,128,43,14,6.0,2.1,90,0,1,Mid-Range Phone
3,3559,32,8,5,5.8,1.8,60,0,1,Budget Phone
16,5667,512,164,48,6.5,3.4,144,1,3,Flagship Phone
7,4430,128,21,15,6.5,2.6,60,0,2,Mid-Range Phone
15,5529,256,93,50,6.9,3.6,120,1,3,Flagship Phone
15,5056,512,88,33,6.9,3.6,120,1,3,Flagship Phone
14,5604,512,73,42,6.7,3.5,120,1,3,Flagship Phone
7,4998,128,63,15,6.6,2.2,90,1,1,Mid-Range Phone
8,5453,64,26,8,6.5,2.6,60,1,1,Mid-Range Phone
4,4416,64,9,8,5.7,1.9,60,0,1,Budget Phone
2,4348,32,12,7,5.6,1.6,60,0,1,Budget Phone
4,4500,64,16,5,6.1,1.9,60,0,1,Budget Phone
2,4212,32,15,6,6.0,1.8,60,0,1,Budget Phone
13,4869,512,100,54,6.9,3.1,144,1,3,Flagship Phone
2,4372,64,16,8,5.8,1.6,60,0,1,Budget Phone
8,5036,128,36,16,6.5,2.5,60,1,2,Mid-Range Phone
8,4407,64,40,16,6.4,2.5,60,1,2,Mid-Range Phone
8,5098,128,38,10,6.0,2.1,60,1,2,Mid-Range Phone
4,5071,128,56,13,6.3,2.5,90,0,2,Mid-Range Phone
4,4373,64,16,6,5.6,1.9,60,0,1,Budget Phone
16,4983,256,198,43,7.0,3.2,120,1,2,Flagship Phone
3,3180,64,8,7,5.7,1.8,60,0,1,Budget Phone
4,3489,32,14,8,6.2,1.7,60,0,1,Budget Phone
7,4336,64,37,11,6.1,2.6,90,1,2,Mid-Range Phone
2,4070,32,15,8,6.1,1.5,60,0,1,Budget Phone
4,4122,32,8,7,5.5,1.7,60,0,1,Budget Phone
16,5480,512,75,57,6.5,3.4,120,1,3,Flagship Phone
9,5264,128,66,30,6.7,2.9,120,1,2,Premium Phone
12,5987,512,117,57,7.0,3.5,144,1,2,Flagship Phone
2,3159,32,10,6,5.7,1.5,60,0,1,Budget Phone
10,4800,256,65,30,6.7,2.9,120,1,2,Premium Phone
4,3149,32,14,7,5.6,1.5,60,0,1,Budget Phone
7,4052,64,62,15,6.0,2.2,90,1,2,Mid-Range Phone
12,5725,512,66,38,6.7,3.0,144,1,3,Flagship Phone
13,4887,256,153,33,6.9,3.2,120,1,3,Flagship Phone
4,3246,32,9,8,6.1,2.0,60,0,1,Budget Phone
